des of
reconstruit rebuilt
canaux channels
canaux canals
figaro figaro
exercer practicing
exercer exercising
implantation implantation
irlandaise irish
boucle buckle
boucle loop
produisent produce
escadre squadron
escadre wing
chevet chevet
chevet bedside
correctement properly
correctement correctly
piliers pillars
piliers pillar
coordination coordination
coordination coordinating
talents talents
talents talent
diplomatique diplomatic
doux doux
doux sweet
doux gentle
doux mild
doux soft
capables capable
romaines roman
joint joint
joint gasket
syndicats unions
nigeria nigeria
lou lou
gaulois gaul
gaulois gaulois
gaulois gallic
gaulois gauls
convaincu convinced
nacional nacional
malades ill
malades sick
leonard leonard
concession concession
concession dealership
hainaut hainaut
eurovision eurovision
naturaliste naturaliste
naturaliste naturalist
tort wrong
juges judges
hms hms
avantages advantages
avantages benefits
keith keith
dommages damage
dommages damages
prononce pronounce
eglise church
organique organic
vengeance payback
vengeance vengeance
vengeance revenge
bombardement shelling
bombardement bombardment
bombardement bombing
guadeloupe guadeloupe
violoncelle cello
memorial memorial
stage internship
bros bros
demain tomorrow
nasa nasa
mensuel monthly
dakar dakar
profond deep
profond profound
occitan occitan
attend waits
hollandais dutch
attentats attacks
attentats bombings
sauveur saviour
sauveur lifesaver
sauveur savior
betty betty
haye hague
rochefort rochefort
vernaculaire vernacular
martinique martinique
esp pse
esp pil
esp esp
ita ita
halte halt
dialogues dialogs
dialogues dialogue
dialogues dialogues
passes passes
mesurer measuring
mesurer measurement
mesurer measure
joachim joachim
gallois welsh
gallois gallois
jupiter jupiter
protestante protestant
wwe wwe
grace grace
marianne marian
marianne marianne
sidi sidi
paire pair
console console
santos santos
tombes graves
tombes tombs
tombes tomb
adolf adolf
approfondir deepening
approfondir deepen
linda linda
vocabulaire vocabulary
missile missile
utiles useful
utiles helpful
glasgow glasgow
harrison harrison
wallonie wallonie
wallonie wallonia
transept transept
anneaux rings
cyr cyr
fuir flee
sentier trail
sentier footpath
sentier path
richelieu richelieu
croisade crusade
boxeur boxer
boxeur fighter
parisiens parisians
parisiens parisiens
parisiens parisian
fifa fifa
finance finance
finance finances
vedette star
vedette featured
stanislas stanislas
tensions tension
tensions voltages
tensions tensions
lucie lucie
lucie lucy
lucie lucia
rica rica
casse breaks
casse casse
casse breakage
casse heist
brigitte bridget
brigitte brigitte
fresques frescoes
fresques murals
pattes legs
pattes paws
adapter adapting
adapter adapt
verbe verb
bull bull
reconstruite reconstructed
reconstruite rebuilt
adopter adopt
adopter adopting
craig craig
saintes saintes
saintes saints
saintes holy
rond round
rond rond
bnf bnf
rudolf rudolf
linux linux
retable retable
fabricant manufacturer
syntaxe syntax
logis logis
celtique celtic
singapour singapore
michelle michelle
joie joy
costume costume
costume suit
puissants powerful
hymne hymn
hymne anthem
hymne hymne
douleur pain
gay gay
mannequin dummy
mannequin model
mannequin mannequin
mannequin modeling
intense intensive
intense intense
rendus rendered
appartiennent belong
vegas vegas
chimiste chemist
flash flash
pacte pact
pacte covenant
pacte compact
analyses analytics
analyses analyses
analyses analysis
foire fair
excellence excellency
excellence excellence
plateforme platform
stock stock
fritz fritz
corruption bribery
corruption corruption
vampire vamp
vampire vampire
consultation consulting
consultation consultation
platine platinum
platine turntable
jeter discard
jeter throw
jeter jeter
perrin perrin
pin pine
pin pin
angelo angelo
moreau moreau
loge loge
tissu cloth
tissu fabric
continu continuous
mets mets
rire rire
rire laughing
rire laugh
rire laughter
coupable guilty
report postponement
apport intake
channel channel
cylindres cylinder
cylindres cylinders
cylindres rolls
vif vif
vif vivid
quais waterfront
quais quays
quais docks
terreur terror
temporaire temporary
verlag verlag
wang wang
anglophone anglophone
brooklyn brooklyn
ultra ultra
fourni provided
fourni supplied
sonde probe
tante auntie
tante aunty
tante aunt
tante tante
baltimore baltimore
assurances insurance
assurances insurances
cloche cloche
cloche bell
rabbin rabbi
marketing marketing
essonne essonne
nicholas nicholas
globalement globally
globalement overall
attirer attraction
attirer lure
attirer attract
attirer attracting
exploitant operator
souffle breath
souffle blow
souffle breathtaking
souffle blowing
pol pol
diagnostic diagnostic
diagnostic diagnosis
diagnostic diagnostics
casino casino
musulman islamic
musulman muslim
musulman muslims
serre greenhouse
serre greenhouses
architectural architectural
complot plot
complot conspiracy
voyant seer
appris learned
appris taught
appris learnt
fan fan
sara sara
faces faces
potter potter
toscane tuscan
toscane tuscany
bain bath
signaler report
signaler reporting
marina marina
temples temples
antilles caribbean
antilles antilles
survivants survivors
xbox xbox
occidentaux westerners
renseignement intelligence
contacts contacts
poudre powder
avertissement warning
avertissement disclaimer
continental continental
occupant occupying
occupant occupier
occupant occupant
prolongement prolongation
prolongement extension
frederick frederick
lever lever
lever sunrise
lever lifting
algorithme algorithms
algorithme algorithm
minuit midnight
buste bust
humide moist
humide damp
humide humid
humide wet
catalan catalan
contrats contracts
censure censors
censure censor
censure censure
censure censorship
chapelles chapels
parade parade
indicatif indicative
bush bush
marathon marathon
solitaire solitary
solitaire lonely
solitaire solitaire
lombardie lombardy
lazare lazare
lazare lazarus
lazare lazar
aveyron aveyron
justifier justifying
justifier justify
baies bays
baies berries
baies berry
beauvais beauvais
avr apr
avr avr
perpignan perpignan
peste pest
peste plague
peste pestilence
wallace wallace
instructions instructions
controverse controversial
controverse controversy
tiens hold
musulmane muslim
angles corners
angles angles
autorise authorizes
aaron aaron
soudan sudan
regarder watch
regarder watching
lama lama
lama llama
murphy murphy
purement purely
divorce divorce
divorce divorced
cook cook
manhattan manhattan
hardy hardy
parme parma
paiement payments
paiement payment
imposant imposing
prochain next
morris morris
survie survival
provoquer provoke
provoquer provoking
igor igor
parrain godfather
parrain sponsor
parent relative
parent parent
hudson hudson
avoue confess
avoue confesses
fabrice fabrizio
fabrice fabrice
groupement grouping
wallonne walloon
wallonne wallonne
belfort belfort
pente slope
pente gradient
multi multi
remparts remparts
remparts ramparts
apple apple
karen karen
nazi nazi
moral morale
moral moral
narrateur narrator
inscrire enroll
futurs future
futurs futures
traverser crossing
traverser traverse
traverser cross
dons donation
dons donate
dons donations
ignore ignore
ignore ignores
patrie motherland
patrie fatherland
patrie homeland
malo malo
ampleur magnitude
uss uss
souligne stresses
souligne highlights
souligne underline
souligne emphasizes
exemplaire copy
exemplaire exemplary
wings wings
enregistrer record
enregistrer save
enregistrer register
monstre freak
monstre monster
acides acids
acides acid
morales morales
perry perry
roubaix roubaix
commerces shops
anthologie anthology
positive positive
substance substance
geste gesture
matrice matrix
nfl nfl
sardaigne sardinia
escrime fencing
perception perception
perception perceptions
charleroi charleroi
axes axes
axes axis
significations meanings
descendance progeny
descendance offspring
descendance descendants
mayer mayer
appartenance affiliation
appartenance belonging
commonwealth commonwealth
retenue restraint
retenue retained
gregory gregory
domestique domestic
domestique domestique
composants components
composants ingredients
rival rival
patriarche patriarch
chair flesh
constituant constituent
constituant grantor
dominant dominating
dominant dominant
julian julian
carburant fuel
voler fly
voler flying
voler steal
sigle acronym
dubois dubois
successives successive
vaucluse vaucluse
honneurs honours
honneurs honors
jet jet
riz rice
riz riz
constance constance
affichage display
affichage view
guatemala guatemala
extraordinaire extraordinary
extraordinaire amazing
chan chan
urbains urban
trajet route
doyen doyen
doyen dean
bridge bridge
otan nato
patinage skating
patinage skate
perdent loses
indispensable indispensable
indispensable essential
const const
bulle bulle
bulle bubbles
bulle bubble
alessandro alessandro
pete pete
cricket cricket
olga olga
touristes tourists
terrible dreadful
terrible terrible
blood blood
demandant asking
demandant requesting
hilaire hilaire
confondre confuse
mobiles mobiles
soie silk
acoustique acoustic
acoustique audio
acoustique acoustics
colonial colonial
marches marche
marches steps
marches marches
intellectuelle intellectual
aluminium aluminium
aluminium aluminum
doc doc
citations quotes
citations quotations
citations citations
tubes tubes
industrielles industrial
mozart mozart
organiste organist
excellent excellent
hart hart
arras arras
diminution decrease
diminution decreased
horizon horizon
gorge throat
gorge gorge
librement freely
silver silver
pauline pauline
offrant offering
chronologique chronological
hugh hugh
amphibiens amphibian
amphibiens amphibians
durand durand
kenya kenya
pilier pillar
diamant diamond
diamant diamonds
quinzaine fifteen
quinzaine fortnight
drogue drugs
drogue drogue
drogue drug
soutenue sustained
soutenue supported
derby derby
magazines magazines
tennessee tennessee
chaos chaos
guise guise
chanter sing
chanter singing
historiquement historically
fusil shotgun
fusil gun
fusil rifle
serbes serb
serbes serbs
serbes serbian
maintient maintains
marx marx
couverte covered
reliques reliques
reliques relics
roberts roberts
roumaine romanian
broadway broadway
rotterdam rotterdam
salaire salary
salaire wage
salaire wages
salaire earnings
rappeur rapper
rappeur rap
plaines plains
watson watson
bayonne bayonne
asiatiques asian
asiatiques asians
clara clara
bataillons battalions
magistrat judge
magistrat magistrate
chanteurs singers
automobiles automobiles
admissible eligible
admissible admissible
admissible permissible
admissible allowable
ethnique ethnicity
ethnique ethnic
comarque comarca
haies hedges
haies hurdles
haies hedge
flanc flank
vignes vignes
vignes vines
vignes vineyard
vignes vineyards
contrainte stress
contrainte constraint
contrainte compulsion
contrainte coercion
folk folk
portails gates
portails portals
billets tickets
billets banknotes
obtenue obtained
antarctique antarctica
antarctique antarctic
contenir contain
conducteur drivers
conducteur driver
conducteur conductor
interdite forbidden
interdite prohibited
interdite banned
proviennent originate
libye libyan
libye libya
choisie chosen
chirurgie surgery
chirurgie surgical
sent smells
grammaire grammar
yann jan
yann yann
mineure minor
balles balls
balles bullets
tigre tiger
tigre tigre
compromis compromise
compromis compromised
horloge clock
middle middle
chaine chain
chaine chaine
parts shares
partager sharing
partager share
pluriel plural
omar omar
monica monica
rey rey
josef josef
pommes apples
pommes apple
vannes gates
vannes vannes
vannes valves
haine haine
haine hatred
haine hate
motte motte
giorgio giorgio
picard picard
nommer appoint
nommer naming
nommer name
lettonie latvia
lettonie latvian
alerte alarm
alerte warning
alerte alert
fermes farm
fermes farmhouses
fermes farms
tunisienne tunisienne
tunisienne tunisia
tunisienne tunisian
copies copies
restaurer restore
restaurer restoring
annecy annecy
edwards edwards
raid raid
distances distances
distances distance
gardiens guards
gardiens guardians
gardiens keepers
plafond ceiling
piscine pool
ronald ronald
exceptionnelle exceptional
sienne sienna
sienne siena
emily emily
explications explanation
explications explanations
abel abel
cave cellar
cave cave
cave winery
cave basement
graphe graph
recommandations recommendation
recommandations recommendations
plainte complaints
plainte complaint
hippolyte hippolyte
activement actively
doubles double
doubles doubles
cage cage
banc bench
souverains rulers
souverains sovereign
souverains sovereigns
copyright copyright
gaule gaul
martine martine
martine martina
martine martin
indochine indochina
indochine indochine
captain captain
buffalo buffalo
italiennes italian
juriste jurist
juriste paralegal
juriste lawyer
enlever remove
sonate sonata
asiatique asiatic
asiatique asia
asiatique asian
regarde watch
regarde look
suffixe suffix
corde rope
corde chord
geoffroy geoffroy
oklahoma oklahoma
documentaires documentary
documentaires documentaries
sep sep
xviii xviii
organisateur organizer
organisateur organiser
papa dad
papa daddy
papa papa
rames oars
florent florent
imagine imagine
ordinateurs computers
ordinateurs computer
tables tables
bassiste bassist
bassiste bass
jessica jessica
gang gang
martial martial
subir undergo
bouton button
toucher touch
toucher touching
now now
aoste aosta
combattant combatant
combattant fighter
tropicale tropical
fossiles fossils
fossiles fossil
citadelle citadelle
citadelle citadel
plastique plastics
plastique plastic
exister exist
menaces threats
menaces threat
ventre tummy
ventre ventre
ventre belly
ventre stomach
forestier forestry
forestier forest
forestier forestier
identiques identical
vicaire vicar
plages beach
plages beaches
barrages dams
barrages roadblocks
mayence mainz
brasserie brasserie
brasserie brewery
prestige prestige
missionnaire missionary
rico rico
vendue sold
favorables favourable
favorables favorable
protestant protestant
spirituel spiritual
constitutionnelle constitutional
valentin valentin
valentin valentine
plaisance plaisance
danseuse dancer
conforme conforming
conforme compliant
earth earth
violent violent
constructeurs builders
constructeurs manufacturers
arcades arcades
arcades arcade
madonna madonna
sourire smile
sourire smiling
sourire smiles
sommeil sleepy
sommeil sleep
sommeil sleeping
digne dignified
digne worthy
saoudite arabia
contenus content
contenus contents
perdus lost
chirurgien surgeon
rite rite
consulat consulate
consulat consulates
schmidt schmidt
magnifique beautiful
magnifique magnificent
magnifique stunning
magnifique gorgeous
classic classic
chances chances
chances odds
ukrainien ukrainian
amanda amanda
afro afro
tigers tigers
intellectuels intellectuals
intellectuels intellectual
entente entente
entente cartel
stevens stevens
trilogie trilogy
indication indication
installent install
danube danube
traversant traversing
centenaire centenary
centenaire centennial
donjon dungeon
donjon dungeons
croissant growing
croissant croissant
croissant crescent
croissant ascending
jul jul
amant amant
amant lover
caps capes
caps caps
incapable unable
incapable incapable
batman batman
carmen carmen
jungle jungle
assomption assumption
condamnation sentencing
condamnation condemnation
condamnation convictions
condamnation conviction
let let
lys lilies
lys lily
lys lys
rail rail
disparus disappeared
cou neck
cou necks
accidents accidents
accidents crashes
blois blois
kazakhstan kazakhstan
spectre specter
spectre spectra
spectre spectrum
spectre spectre
ajoutant adding
transcription transcription
transcription transcript
nouvellement newly
violoniste violinist
violoniste fiddler
achille achille
achille achilles
tag tag
profiter enjoy
profiter enjoying
publicitaire advertising
sandra sandra
grosses grosses
una una
recrutement recruitment
recrutement recruiting
rohan rohan
terminal terminal
explorer exploring
explorer explore
explorer explorer
partition partition
partition score
couples couples
ana ana
reconnus recognised
reconnus acknowledged
reconnus recognized
plastiques plastics
plastiques plastic
violation violation
violation breach
violation violations
violation infringement
conservateurs preservatives
conservateurs conservatives
conservateurs curators
conservateurs conservative
rappel recall
rappel reminder
incarne embodies
plats flat
plats dishes
cameron cameron
miracle miracle
cfa cfa
deutsche deutsche
anarchiste anarchists
anarchiste anarchist
indo indo
graphiques graphs
graphiques graphic
graphiques charts
graphiques graphics
charlemagne charlemagne
monique monique
accusations accusation
accusations accusations
juger judge
juger judging
toiles canvases
toiles canvas
toiles fabrics
toiles paintings
albanie albania
assister attend
unit unit
connexion login
connexion connecting
connexion connection
connexion connect
briques bricks
briques brick
opinions opinions
tranche slice
tranche tranche
tranche instalment
brothers brothers
bonnet bonnet
sul sul
partisan partisan
partisan supporter
dumas dumas
revoir revoir
coque hull
cloud cloud
boutique shop
boutique boutique
boutique store
knight knight
accuse blames
accuse accuses
accuse accuse
colloque symposium
colloque colloquium
suspendu suspension
suspendu suspended
felix felix
under under
conjointement jointly
diffuse diffused
diffuse diffuse
mare mare
exigences requirements
exigences demands
homonyme namesake
castro castro
sidney sidney
aveugle blind
ferry ferry
espionnage spying
espionnage spy
espionnage espionage
vies lifes
vies lives
segment segment
roulant rolling
tabac smoking
tabac tobacco
palace palace
tutelle trusteeship
tutelle tutelage
tutelle guardianship
side sidecar
monarque monarch
nbc nbc
butler butler
tissus fabrics
tissus fabric
suffisante sufficient
spencer spencer
connecticut connecticut
afficher show
afficher display
afficher view
dominante dominant
dominante dominance
pensez think
hercule hercules
hercule hercule
zur zur
solde balance
gustav gustav
oregon oregon
cape cape
diff diff
infos info
infos information
artificielle artificial
voyageur passenger
voyageur traveller
voyageur traveler
traitements treatments
leslie leslie
serpents serpents
serpents snakes
serpents snake
entourage entourage
cuir leather
reporter reporter
utah utah
serie serie
carnaval carnaval
carnaval carnival
location rental
cacher hide
cacher hiding
come come
neuilly neuilly
intrigue intrigue
kentucky kentucky
schneider schneider
ned ned
roll roll
accusation accusation
accusation indictment
accusation prosecution
lyrique lyric
lyrique lyrical
lyrique lyrics
gain gain
laser laser
minimale minimum
minimale minimal
composant component
sauvetage salvage
sauvetage rescue
nina nina
doigts fingers
doigts finger
convoi convoy
atterrissage landing
blaise blaise
encre ink
remplir fill
progressiste progressive
invitation invite
invitation invitation
technologique technology
technologique technological
souffre suffer
souffre suffers
cercles circles
arche arche
arche ark
arche arch
collaborateurs coworkers
collaborateurs collaborators
collaborateurs employees
collaborateurs contributors
restaurants restaurants
viaduc viaduct
gravures engraving
gravures engravings
gratuit free
alabama alabama
stan stan
queensland queensland
holstein holstein
escalade escalade
escalade climbing
claudia claudia
allusion allusion
allusion hint
alla alla
mathilde mathilde
mathilde matilda
oslo oslo
bombardements bombardments
bombardements bombings
bombardements bombardment
bombardements bombing
rennais rennais
ice ice
suffisant smug
suffisant sufficient
wendy wendy
ricardo ricardo
rhodes rhodes
klein klein
